ResourceId,Subscription,ResourceGroup,Resource,ResourceType,Tags
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/Api-Default-North-Europe/providers/Microsoft.ApiManagement/service/TFGM,Open Data Project Live,Api-Default-North-Europe,TFGM,Microsoft.ApiManagement/service,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/CS-WebJobs-NorthEurope-scheduler/providers/Microsoft.Scheduler/jobcollections/WebJobs-NorthEurope,Open Data Project Live,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/serverFarms/DefaultServerFarm,Open Data Project Live,Default-Web-NorthEurope,DefaultServerFarm,Microsoft.Web/serverFarms,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/sites/OpenDataClientAPI,Open Data Project Live,Default-Web-NorthEurope,OpenDataClientAPI,Microsoft.Web/sites,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/sites/OpenDataSupplierAPI,Open Data Project Live,Default-Web-NorthEurope,OpenDataSupplierAPI,Microsoft.Web/sites,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/Default-ServiceBus-NorthEurope/providers/Microsoft.ServiceBus/namespaces/OpenDataServiceBus,Open Data Project Live,Default-ServiceBus-NorthEurope,OpenDataServiceBus,Microsoft.ServiceBus/namespaces,
/subscriptions/7749bbe2-ab23-466a-b4fd-0eef116a4dfa/resourceGroups/WebJobs-NorthEurope-LogicApp-RG/providers/Microsoft.Logic/workflows/MottsWebJob-Logic-App,Open Data Project Live,WebJobs-NorthEurope-LogicApp-RG,MottsWebJob-Logic-App,Microsoft.Logic/workflows,
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/CS-WebJobs-NorthEurope-scheduler/providers/Microsoft.Scheduler/jobcollections/WebJobs-NorthEurope,ISEngineering,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Default-SQL-NorthEurope/providers/Microsoft.Web/serverFarms/marchie,ISEngineering,Default-SQL-NorthEurope,marchie,Microsoft.Web/serverFarms,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/tfgm-travel-planner-int/providers/Microsoft.Web/sites/tfgm-travel-planner-int,ISEngineering,tfgm-travel-planner-int,tfgm-travel-planner-int,Microsoft.Web/sites,Environment=int; 
