Subscription	ResourceGroup	Resource	ResourceType
Open Data Project Live	Api-Default-North-Europe	TFGM	Microsoft.ApiManagement/service
Open Data Project Live	CS-WebJobs-NorthEurope-scheduler	WebJobs-NorthEurope	Microsoft.Scheduler/jobcollections
Open Data Project Live	Default-Web-NorthEurope	DefaultServerFarm	Microsoft.Web/serverFarms
Open Data Project Live	Default-Web-NorthEurope	OpenDataClientAPI	Microsoft.Web/sites
Open Data Project Live	Default-Web-NorthEurope	OpenDataSupplierAPI	Microsoft.Web/sites
Open Data Project Live	Default-ServiceBus-NorthEurope	OpenDataServiceBus	Microsoft.ServiceBus/namespaces
Open Data Project Live	WebJobs-NorthEurope-LogicApp-RG	MottsWebJob-Logic-App	Microsoft.Logic/workflows
Open Data Project Test	Default-ServiceBus-NorthEurope	testtfgm	Microsoft.ServiceBus/namespaces
Open Data Project Test	Default-Web-NorthEurope	Default0	Microsoft.Web/serverFarms
Open Data Project Test	Default-Web-NorthEurope	tfgmdatatest	Microsoft.Web/sites
Open Data Project Test	Default-Web-NorthEurope	tfgmtestadmin	Microsoft.Web/sites
Open Data Project Test	Default-Web-NorthEurope	tfgmtestdev	Microsoft.Web/sites
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGAPP01_DataDisk_0	Microsoft.Compute/disks
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGAPP01_OsDisk_1_e85185f370054217a6acc369d3520d48	Microsoft.Compute/disks
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01_disk2_93843354a22f4300ab0e6d8c66fbe760	Microsoft.Compute/disks
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01_OsDisk_1_1500d1f0c797493e81fffa22ef417192	Microsoft.Compute/disks
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGAPP01	Microsoft.Compute/virtualMachines
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01	Microsoft.Compute/virtualMachines
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01/SqlIaasExtension	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	Server-Migration-NorthEurope	tfgmmigapp01447	Microsoft.Network/networkInterfaces
TfGM SharePoint	Server-Migration-NorthEurope	tfgmmigdbs01207	Microsoft.Network/networkInterfaces
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01-nsg	Microsoft.Network/networkSecurityGroups
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGAPP01-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	Server-Migration-NorthEurope	TFGMMIGDBS01	Microsoft.SqlVirtualMachine/SqlVirtualMachines
TfGM SharePoint	Server-Migration-NorthEurope	servermigrationnortheuro	Microsoft.Storage/storageAccounts
TfGM SharePoint	NetworkWatcherRG	NetworkWatcher_northeurope	Microsoft.Network/networkWatchers
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-as-spapp1	Microsoft.Compute/availabilitySets
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-as-spsql1	Microsoft.Compute/availabilitySets
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-as-spweb1	Microsoft.Compute/availabilitySets
TfGM SharePoint	tfgm-rg-vn-ne1	TfGM-static-availability-group	Microsoft.Compute/availabilitySets
TfGM SharePoint	tfgm-rg-vn-ne1	azurespt-adc-01/Microsoft.Insights.VMDiagnosticsSettings	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	azurespt-adc-01/VMSnapshot	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	sp-EDRMS-app01/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	sp-edrms-app01/VMSnapshot	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	sp-EDRMS-sql/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
