"ResourceArn","TagKey","TagValue"
"arn:aws:lambda:eu-west-1:177539856531:function:testregion","lambda-console:blueprint","hello-world-python"
"arn:aws:acm:eu-west-2:177539856531:certificate/8818e7e4-f5a2-452e-9bc8-340be6f37d9f","matillion-snowflake","matillion-snowflake"
"arn:aws:ec2:eu-west-2:177539856531:elastic-ip/eipalloc-02cceaa61c87f3bf3","matillion-snowflake","matillion-snowflake"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-004c9bcdb875a0bbc","Name","MatillionPOC"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-005a099056b1246c4","Name","Node2"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-034914445b2150436","matillion-snowflake","matillion-snowflake"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-04c379c1cbcf3cffe","Name","Node3"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-079eaef058731593a","Name","PaulsTest"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-0bff284090942698a","Name","Jenkins"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-0c4f20d8062eeac51","Name","TimsTest"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-0e06bc9bc139f49d1","Name","Kube2"
"arn:aws:ec2:eu-west-2:177539856531:instance/i-0f406dd58d3fbb204","Name","Node1"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-00d4e82eaac303821","Name","SwarmSecGrp"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-02fa5489853f2e2e7","Name","dbAccess"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-06e4534c2f25161a9","aws:cloudformation:logical-id","ConfigDBAccessSG"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-06e4534c2f25161a9","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-06e4534c2f25161a9","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-0c3e410ba396074a5","Name","WebDMZ"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-0d5810e63bf0556c0","Name","sqldbAccess"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-0d7da3d6d46bdceeb","Name","MatillionInternalAccessOnly"
"arn:aws:ec2:eu-west-2:177539856531:security-group/sg-0e368451306365ed7","Name","DA-Sorting-InternalRDSConnectivity"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-00f5df1ab5aa27b23","Name","Node1"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-04df01865bd17cb08","Name","Node3"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-0580267cfc2a1c445","Name","Node2"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-0a1c6989acbb6b40d","Name","Kube2"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-0c2e9cac75c7f9f3a","Name","PaulsTest"
"arn:aws:ec2:eu-west-2:177539856531:volume/vol-0fed843b5ae57b247","Name","TimsTest"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-cloudwatch-event","aws:cloudformation:logical-id","InvokeSnowflakeLoadFromCloudWatchEvent"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-cloudwatch-event","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/1d6edeb0-1688-11ea-82d2-02317fefc7aa"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-cloudwatch-event","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-cloudwatch-event","lambda:createdBy","SAM"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-s3-event","aws:cloudformation:logical-id","InvokeSnowflakeLoadFromS3Event"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-s3-event","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/1d6edeb0-1688-11ea-82d2-02317fefc7aa"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-s3-event","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:lambda:eu-west-2:177539856531:function:invoke-snowflake-load-from-s3-event","lambda:createdBy","SAM"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckDataTypesTest","aws:cloudformation:logical-id","lCheckDataTypes"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckDataTypesTest","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckDataTypesTest","aws:cloudformation:stack-name","TestLogging"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckDataTypesTest","lambda:createdBy","SAM"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckHeadersTest","aws:cloudformation:logical-id","lCheckHeaders"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckHeadersTest","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckHeadersTest","aws:cloudformation:stack-name","TestLogging"
"arn:aws:lambda:eu-west-2:177539856531:function:lCheckHeadersTest","lambda:createdBy","SAM"
